participant_id,modality,response_language,response_text
P093,AR,pt,"A seta de direção em maior parte dos casos é irrelevante, porque sabemos de acordo com a faixa onde circula qual a direção do veículo, para além de o vermos a mover. Para além de que se pode tornar muito confuso no caso de vários veículos. Os semáforos também estão pouco esclarecedores, pois deveriam apresentar a forma dos peões, tal como na vida real e não um semáforo genérico. É necessário neste tipo de coisas criar o menor tipo de dúvidas"
P097,AR,pt,"A orientação da passadeira devia ser diferente, e não com letras tão ""pequenas"" a indicar se é seguro passar ou não."
P099,AR,pt,Os semafros deviam ser iguais ao semafro dos peoes
P101,AR,pt,"Para um usuário que tenha uma primeira experiência sem uma prévia preparação para os designs pode interpretar erradamente os semáforos, imaginando, por exemplo, que a projeção do semáforo vermelho indica que o carro vai parar e que o peão pode prosseguir - o que na verdade é ao contrário."
P105,AR,pt,Cores menos neutras na passadeira
P108,AR,pt,"Interfaces que utilizam semáforos podem induzir o utilizador em erro, podendo pensar que o semáforo apresentado é o semáforo que o veículo está a ver. A Inferface Projetada parece me a melhor interface pois, visualmente, a posição das palavras ""Safe to cross"" dão uma segurança ao peão que o veículo está parado/barrado. Um sugestão para esta interface seria mesmo enfatizar estas palavras ""Safe to cross"". Para as interfaces que indicam a aproximação de um veículo, sugeria uma mistura do Design: “Seta Direcional” e do Design: ""Alerta de Veículo a Aproximar-se"", enfatizando mais os movimentos e as suas variações, que são: a interrupção do movimento do peão e a persistência do movimento do carro."
P117,AR,pt,"Penso que o modelo de seta direcional pode ser combinado com outros como o Alerta de Veículo a Aproximar-se. Assim não só o peão tem a indicação clara que deve parar como consegue observar que o carro se quer manter em movimento pela seta no mesmo. O design do semáforo aparenta ser mais agradável para várias utilizações e potencialmente para um uso diário por ser menos obstrutivo do campo de visão, no entanto o alerta de veículo é bem mais eficaz e claro que é perigoso avançar. Por isso, na minha opinião o ideal seria ter o sistema de Semáforo, mas caso o peão se aproxime demasiado ou esteja na via do veículo a utilização do Alerta para dar uma maior sensação de perigo pode ser interessante. Qualquer um destes sistemas pode usufruir do uso da seta direcional para mostrar aos peõs quais as intenções dos VAs."
P124,AR,en,"The way I intuitively interpreted the directional arrow was as current movement, not intended movement. The vehicle approaching warning uses a stop sign which usually pedestrians do not have to take into consideration when moving. The traffic lights may also be a bit confusing (is the light for me or for the vehicle). My suggestion would be to replace them with pedestrian traffic lights, the ones with a green human walking or a red human standing). The yielding to cross is something I would need to get used to. The projected crosswalk stripes are put in such a position that looks like the vehicle is using the crosswalk instead of the user. Weird. Some of these signs are indications for the user (like the traffic lights) other are status updates of the vehicle (directional arrow, yielding to cross). This mix can be confusing or, at least, not intuitive in same cases."
P010,Gesture,pt,Novamente acho que tem pouco sentido. No máximo podia ser utilizado por pessoas com incapacidade.
P025,Gesture,pt,"O gesto de desviar de um obstáculo parece-me um pouco complicado e pode até induzir em erro, visto que o utilizador tem de fazer um círculo à volta do obstáculo. Uma ideia para melhorar podia ser apontar com os dois indicadores para onde está o obstáculo duas vezes (como o gesto de recuar, mas a apontar)."
P026,Gesture,pt,Gestos devem ser claros e em definidos - ser universal.
P029,Gesture,pt,Recuar e paragem de emergência são muito parecidos
P048,Gesture,pt,"novamente, do ponto de vista de um agente de transito, talvez sejam interessantes, mas, como um peão comum, não. Entretanto, acho os gestos melhores do que a voz"
P049,Gesture,en,Same as before command and control should support the needs
P054,Gesture,pt,"Considero que os gestos mais intuitivos são aqueles que se baseiam em gestos que são utilizados para comunicar com condutores de veículos não autónomos, os gestos 8 e 9 são consideravelmente semelhantes o que poderá levar a alguma confusão."
P071,Gesture,pt,Gesto 8 pode ser confundido com o Gesto 7
P077,Gesture,pt,"Os gestos que envolvem movimento podem ser confundidos com outros gestos semelhantes, daí a minha classificação. Os gestos que envolvem simplesmente as mãos paradas, como os de paragem, são intuitivos, mas os outros podem ser interpretados como gestos com intenções contrárias, como a semelhança entre os gestos de reduzir velocidade e de recúo."
P079,Gesture,pt,Idem.
P084,Gesture,en,Maybe all gestures should be able to use one hand only. Avoid obstacle gesture might be a little complex.
P097,Gesture,pt,"gestos talvez demasiado demorados para situações mais urgentes. 8 e 9 demasiado parecidos. muitos sinais fazem sentido em termos de ""tradução direta"" mas em casos reais talvez pouco prático."
P102,Gesture,pt,"Gesto 9 e 1 começam com o gesto 8, pode gerar confusão especialmente pois gesto 8 é critico."
P105,Gesture,pt,Há gestos que são certamente parecidos mas conseguem ser distinguidos
P117,Gesture,pt,"Diria que o gesto de abrandar podia ser feito com apenas uma mão em vez de duas. O gesto para segue-me parece pouco intuitivo porque pode ser confundido com ""Avançar (na direção do peão)"""
P124,Gesture,en,Please *do not use* that Process Gesture. That's something I would signal a pedestrian for them to cross a crosswalk. That would cause the car to run them over.
P009,Voice,pt,"Penso que seria mais claro se transmitisse logo a parte mais importante da mensagem. Ou seja, em vez de ser ""Car stop"" ser apenas ""Stop"""
P010,Voice,pt,"Acho que isto não funciona, simplesmente porque podem existir vários VRUs, e cada um poderá dizer uma coisa diferente. Primeiro regras da estrada; Segundo sensing; Não acredito em comandos de voz."
P026,Voice,pt,"Os comandos por voz têm de ser muito curtos e distinguir-se muito entre eles, para que as ordens sejam bem audíveis."
P048,Voice,pt,"não acho boa ideia utilizar comandos de voz. Os ""desviar obstaculo"" e ""aguardar peões"" principalmente me dão a impressão de que estou a coordenar o transito, quando na verdade não quero fazer nada disso, apenas quero passar."
P049,Voice,en,The c4i should retain all the function. Imagine thar an humam asset says go and the collegue says move fw. Comand and control must aplly the correct procedure . Interaction of uv must have strict c4i .
P054,Voice,pt,Considero que todos os comandos são úteis e intuitivos.
P063,Voice,pt,"O esperar pelos peões não podia ser apenas ‘ car wait ‘ ? Deixa na mesma claro o próximo estado do veículo, independente da razão de espera."
P073,Voice,pt,"""Go around that"" é muito subjetivo. De resto comandos por voz são pouco ""estáveis""."
P079,Voice,pt,"Não me fiaria muito num sistema de voz, pois é mais suscetível de incompreensão."
P090,Voice,pt,"O ""Go arround "" é ambíguo, porque podemos contornar pela esquerda ou pela direita, o de aguardar peões acho desnecessário sendo que temos o stop e assumo que o veiculo não retome a marcha até eu o comandar."
P105,Voice,pt,Não acho necessário
P117,Voice,pt,"Podia ser considerada a adição de um comando para paragem de emergência como por exemplo ""Emergency STOP"""
P122,Voice,pt,Não parece à primeira vista ser uma boa ideia de enviar comandos de voz para o carro. O peão pode intencionalmente enviar comandos que não são adequados para o veículo ou alguém de fora pode perturbar outros peões que queiram atravessar com os comandos de voz.
